iter	Logloss
0	0.6605440105
1	0.6253333953
2	0.6012112499
3	0.5764140676
4	0.5576397276
5	0.5330259531
6	0.5209682916
7	0.5038248438
8	0.487390227
9	0.4757150901
10	0.4613905582
11	0.4505702723
12	0.4400155427
13	0.4293125886
14	0.4211407254
15	0.4125204299
16	0.4044467374
17	0.3941525605
18	0.3883276881
19	0.3834908538
20	0.3773687174
21	0.3724746073
22	0.3638382928
23	0.3587688198
24	0.3542733998
25	0.3498217996
26	0.3442716345
27	0.3404858084
28	0.3354900834
29	0.33227283
30	0.3289514537
31	0.3258833782
32	0.323654558
33	0.3219664765
34	0.3187409437
35	0.3154325041
36	0.3127839241
37	0.3106918548
38	0.3086763925
39	0.3074091312
40	0.3060882697
41	0.3050674697
42	0.3033561739
43	0.3023477048
44	0.3008912613
45	0.3001895533
46	0.2991983698
47	0.2980897711
48	0.2970598169
49	0.296398376
50	0.2952257279
51	0.2945637269
52	0.2933556972
53	0.2929082971
54	0.2917819801
55	0.2909102415
56	0.2901803976
57	0.2893136688
58	0.2889715041
59	0.2883336473
60	0.2879064735
61	0.2873459867
62	0.2868274222
63	0.2859450441
64	0.2854255151
65	0.2848897059
66	0.2836003648
67	0.2829856498
68	0.2826535078
69	0.2820296875
70	0.2816855811
71	0.2811972751
72	0.2807217894
73	0.2802177098
74	0.2795775762
75	0.2790223525
76	0.2787077605
77	0.2780442804
78	0.2776107516
79	0.2772706417
80	0.2769728397
81	0.276276335
82	0.2760066863
83	0.2757567383
84	0.2749339506
85	0.2743122843
86	0.2738077327
87	0.2730134319
88	0.2727056464
89	0.2724337917
90	0.2719643952
91	0.2712899814
92	0.2708951746
93	0.2706737497
94	0.2701568986
95	0.2698734541
96	0.269613957
97	0.2694365928
98	0.2691360467
99	0.2689676021
100	0.2683212236
101	0.2681707146
102	0.2679641365
103	0.2677675765
104	0.267585451
105	0.2669526433
106	0.2667264714
107	0.2664975129
108	0.2662254631
109	0.2659924626
110	0.2656990929
111	0.2655127176
112	0.2652807602
113	0.2650453224
114	0.2647749089
115	0.2644450232
116	0.2638113548
117	0.2634647042
118	0.263273434
119	0.2631238281
120	0.262872398
121	0.2626635369
122	0.2625335847
123	0.2623672658
124	0.2620372322
125	0.2618837462
126	0.2614627906
127	0.2613578826
128	0.2611555512
129	0.2609617934
130	0.2608591998
131	0.2606994091
132	0.2605029466
133	0.260265808
134	0.2601705324
135	0.2597834668
136	0.2596065368
137	0.2594528416
138	0.2593044519
139	0.2591557901
140	0.2588223248
141	0.2585245148
142	0.2581054553
143	0.257804744
144	0.2576512422
145	0.2574930659
146	0.2573817445
147	0.2572889093
148	0.2567912493
149	0.2566784458
150	0.2565503864
151	0.2563888444
152	0.2561455065
153	0.2557596682
154	0.2556559213
155	0.2555121654
156	0.2554072573
157	0.2551263397
158	0.2550140034
159	0.2548802262
160	0.2547852716
161	0.2546434494
162	0.2544112403
163	0.2543065887
164	0.2538353638
165	0.2533399018
166	0.2528158807
167	0.2526538715
168	0.2525007222
169	0.2523432696
170	0.2522678333
171	0.2521740352
172	0.2519674225
173	0.2517937747
174	0.2516743833
175	0.2515314487
176	0.2511691614
177	0.251009742
178	0.2507971834
179	0.2506604638
180	0.2504265884
181	0.2503303405
182	0.2499877163
183	0.2495003795
184	0.2491316396
185	0.2488970232
186	0.2486118667
187	0.2485115357
188	0.2483466991
189	0.2482536373
190	0.2481835806
191	0.248118842
192	0.247968281
193	0.2478547207
194	0.2478054269
195	0.2476809344
196	0.2475680018
197	0.2475212397
198	0.2474461637
199	0.2473285786
200	0.2470807076
201	0.2469749011
202	0.2469305368
203	0.2468099417
204	0.2467504788
205	0.2467132107
206	0.2465045384
207	0.2462582786
208	0.2461607373
209	0.2461050538
210	0.2460406787
211	0.2459743101
212	0.2458990831
213	0.2457442345
214	0.24552556
215	0.2454735064
216	0.2453928747
217	0.2452753084
218	0.2451787096
219	0.2450803407
220	0.2450167712
221	0.2449440066
222	0.2448681109
223	0.2446834459
224	0.2445567837
225	0.2444750096
226	0.2444019398
227	0.2443083132
228	0.2442274769
229	0.2441658506
230	0.2440683424
231	0.2439685448
232	0.243847517
233	0.2437642686
234	0.243711046
235	0.2435941437
236	0.2435180183
237	0.2434181137
238	0.2433446316
239	0.2432124907
240	0.2431360317
241	0.2430373025
242	0.2429538197
243	0.2428696824
244	0.2428214019
245	0.2427534536
246	0.242673061
247	0.2424967383
248	0.2423996108
249	0.2423221496
250	0.2422460997
251	0.2421794368
252	0.2421249696
253	0.2420386389
254	0.2419651364
255	0.241887285
256	0.2417236189
257	0.2414888435
258	0.2414366877
259	0.2413784442
260	0.2412773595
261	0.2411837518
262	0.2411102981
263	0.2410214625
264	0.2408620982
265	0.2407195869
266	0.2406478135
267	0.240580482
268	0.2404918919
269	0.2404164887
270	0.2403250397
271	0.2402395665
272	0.2401582409
273	0.2399924618
274	0.2399077156
275	0.2398699833
276	0.2397359275
277	0.2396714738
278	0.2395987878
279	0.239519846
280	0.2394363963
281	0.2393724948
282	0.2393062583
283	0.2391992859
284	0.2390419671
285	0.2389755261
286	0.2389270473
287	0.2388508825
288	0.238767491
289	0.2386815443
290	0.2386149759
291	0.2384907509
292	0.2384105078
293	0.2383621218
294	0.2382440993
295	0.2381368027
296	0.2380469413
297	0.2379878812
298	0.2378936693
299	0.2378417951
300	0.2377655737
301	0.2376836864
302	0.2376033017
303	0.2375209518
304	0.2374515292
305	0.2373623915
306	0.2373001516
307	0.2372667446
308	0.2371893306
309	0.2371123964
310	0.2370575311
311	0.2370045444
312	0.2369144313
313	0.2368210863
314	0.2366986975
315	0.2366551828
316	0.2365555552
317	0.2365021374
318	0.2363904841
319	0.2363469191
320	0.236286037
321	0.2361407155
322	0.2360903927
323	0.2359935406
324	0.2359315854
325	0.2358922309
326	0.235819095
327	0.2357714281
328	0.2357025955
329	0.2356516858
330	0.2355733009
331	0.2355082603
332	0.235404356
333	0.2351344571
334	0.2350875439
335	0.2350279189
336	0.2349303603
337	0.234855865
338	0.234789885
339	0.2347083234
340	0.2346621638
341	0.234621173
342	0.2345580346
343	0.2344868403
344	0.2343885296
345	0.234312143
346	0.2342609013
347	0.2341778386
348	0.2341206761
349	0.2340400397
350	0.233994157
351	0.2339154842
352	0.2338577474
353	0.2337845061
354	0.2337151102
355	0.2336095822
356	0.2335406269
357	0.2334031536
358	0.2333490121
359	0.2332636035
360	0.2331507512
361	0.2330757712
362	0.2330102239
363	0.2329622518
364	0.2327599204
365	0.2326872235
366	0.2326114709
367	0.2325489242
368	0.2324845003
369	0.2324254591
370	0.2323860464
371	0.2322985105
372	0.2322519403
373	0.2321754058
374	0.2320649058
375	0.2319937036
376	0.2319527473
377	0.2319037163
378	0.2318469172
379	0.2317857409
380	0.2316688213
381	0.2315659965
382	0.2314871616
383	0.2313766049
384	0.2312280375
385	0.2311390525
386	0.2309965899
387	0.2309337788
388	0.2308408476
389	0.2307894328
390	0.230743964
391	0.2306399811
392	0.2305562686
393	0.2304174564
394	0.2303126427
395	0.2302535669
396	0.2301768436
397	0.2300670138
398	0.229966
399	0.2298794931
