iter	Passed	Remaining
0	10	4236
1	20	4093
2	31	4128
3	41	4084
4	52	4110
5	67	4404
6	75	4253
7	86	4232
8	98	4271
9	107	4198
10	118	4202
11	132	4277
12	141	4226
13	151	4190
14	164	4224
15	173	4172
16	184	4158
17	196	4167
18	206	4145
19	217	4131
20	230	4154
21	239	4122
22	251	4128
23	261	4100
24	271	4072
25	282	4068
26	295	4086
27	305	4056
28	317	4060
29	327	4037
30	337	4022
31	347	3996
32	358	3989
33	368	3968
34	380	3963
35	391	3959
36	402	3944
37	415	3954
38	424	3932
39	435	3916
40	446	3909
41	461	3931
42	471	3915
43	483	3909
44	493	3894
45	503	3871
46	513	3857
47	524	3846
48	535	3837
49	545	3819
50	556	3805
51	565	3782
52	576	3773
53	589	3779
54	602	3781
55	613	3767
56	622	3746
57	632	3731
58	642	3711
59	651	3692
60	660	3669
61	670	3656
62	680	3639
63	692	3633
64	702	3618
65	714	3613
66	723	3597
67	734	3587
68	744	3569
69	753	3551
70	765	3547
71	779	3550
72	788	3532
73	797	3513
74	807	3499
75	816	3482
76	826	3467
77	840	3468
78	850	3454
79	860	3442
80	871	3433
81	883	3426
82	895	3420
83	906	3409
84	916	3397
85	925	3380
86	935	3366
87	946	3354
88	954	3336
89	965	3325
90	976	3314
91	985	3300
92	995	3284
93	1007	3278
94	1017	3265
95	1027	3253
96	1039	3245
97	1048	3232
98	1060	3223
99	1071	3213
100	1079	3196
101	1088	3180
102	1099	3170
103	1110	3162
104	1120	3147
105	1131	3137
106	1142	3128
107	1151	3114
108	1162	3102
109	1171	3088
110	1180	3072
111	1189	3058
112	1201	3052
113	1211	3038
114	1220	3025
115	1231	3014
116	1240	3001
117	1251	2990
118	1262	2982
119	1272	2969
120	1282	2957
121	1292	2944
122	1304	2937
123	1313	2922
124	1324	2914
125	1334	2902
126	1344	2889
127	1354	2879
128	1365	2867
129	1375	2856
130	1385	2846
131	1397	2838
132	1406	2823
133	1417	2813
134	1428	2804
135	1436	2789
136	1447	2779
137	1459	2770
138	1469	2758
139	1479	2748
140	1493	2743
141	1503	2732
142	1514	2721
143	1526	2713
144	1536	2701
145	1546	2690
146	1558	2681
147	1568	2670
148	1579	2660
149	1595	2658
150	1605	2647
151	1623	2649
152	1633	2637
153	1643	2625
154	1658	2620
155	1666	2607
156	1676	2595
157	1689	2587
158	1698	2574
159	1708	2562
160	1720	2553
161	1730	2543
162	1740	2529
163	1751	2520
164	1763	2511
165	1772	2498
166	1784	2489
167	1793	2477
168	1803	2465
169	1815	2456
170	1826	2445
171	1837	2435
172	1848	2424
173	1866	2423
174	1878	2415
175	1899	2418
176	1918	2416
177	1942	2423
178	1957	2416
179	1973	2411
180	1985	2402
181	1996	2391
182	2005	2378
183	2028	2381
184	2038	2368
185	2055	2365
186	2067	2354
187	2080	2345
188	2089	2332
189	2100	2321
190	2110	2309
191	2121	2298
192	2131	2286
193	2143	2276
194	2154	2264
195	2165	2253
196	2176	2243
197	2187	2231
198	2197	2219
199	2208	2208
200	2220	2197
201	2229	2185
202	2241	2175
203	2252	2163
204	2261	2151
205	2272	2140
206	2283	2129
207	2293	2117
208	2303	2105
209	2314	2093
210	2323	2081
211	2333	2069
212	2345	2058
213	2354	2046
214	2364	2034
215	2374	2022
216	2385	2011
217	2394	1999
218	2405	1987
219	2415	1976
220	2424	1963
221	2435	1952
222	2445	1941
223	2455	1929
224	2466	1918
225	2477	1907
226	2489	1897
227	2500	1886
228	2510	1874
229	2520	1862
230	2529	1850
231	2541	1840
232	2551	1828
233	2561	1817
234	2573	1806
235	2582	1794
236	2592	1782
237	2605	1773
238	2615	1761
239	2624	1749
240	2635	1738
241	2645	1727
242	2655	1715
243	2667	1705
244	2676	1693
245	2686	1681
246	2696	1670
247	2706	1658
248	2715	1646
249	2724	1634
250	2736	1624
251	2746	1612
252	2756	1601
253	2770	1592
254	2779	1580
255	2790	1569
256	2801	1559
257	2811	1547
258	2821	1536
259	2832	1524
260	2841	1513
261	2851	1502
262	2863	1491
263	2873	1480
264	2883	1468
265	2895	1458
266	2906	1447
267	2915	1435
268	2925	1424
269	2935	1413
270	2946	1402
271	2960	1393
272	2969	1381
273	2979	1370
274	2992	1360
275	3002	1348
276	3011	1337
277	3026	1328
278	3036	1316
279	3045	1305
280	3058	1295
281	3067	1283
282	3078	1272
283	3091	1262
284	3100	1250
285	3108	1239
286	3118	1227
287	3130	1217
288	3142	1206
289	3154	1196
290	3165	1185
291	3175	1174
292	3186	1163
293	3197	1152
294	3207	1141
295	3217	1130
296	3228	1119
297	3238	1108
298	3249	1097
299	3262	1087
300	3273	1076
301	3285	1066
302	3294	1054
303	3303	1043
304	3314	1032
305	3325	1021
306	3333	1009
307	3343	998
308	3355	988
309	3365	976
310	3375	966
311	3386	955
312	3396	943
313	3405	932
314	3417	922
315	3426	910
316	3436	899
317	3448	889
318	3458	878
319	3468	867
320	3479	856
321	3491	845
322	3500	834
323	3511	823
324	3520	812
325	3530	801
326	3542	790
327	3554	780
328	3563	769
329	3573	757
330	3585	747
331	3594	736
332	3604	725
333	3616	714
334	3626	703
335	3638	693
336	3649	682
337	3660	671
338	3671	660
339	3683	650
340	3693	639
341	3702	627
342	3713	617
343	3723	606
344	3732	594
345	3744	584
346	3755	573
347	3765	562
348	3774	551
349	3785	540
350	3796	530
351	3807	519
352	3818	508
353	3827	497
354	3840	486
355	3850	475
356	3859	464
357	3872	454
358	3886	443
359	3896	432
360	3911	422
361	3928	412
362	3945	402
363	3955	391
364	3969	380
365	3983	370
366	3992	359
367	4004	348
368	4015	337
369	4025	326
370	4038	315
371	4052	304
372	4061	293
373	4071	283
374	4082	272
375	4090	261
376	4101	250
377	4113	239
378	4123	228
379	4135	217
380	4146	206
381	4155	195
382	4170	185
383	4181	174
384	4190	163
385	4200	152
386	4211	141
387	4221	130
388	4232	119
389	4244	108
390	4252	97
391	4262	86
392	4272	76
393	4282	65
394	4291	54
395	4302	43
396	4313	32
397	4322	21
398	4332	10
399	4343	0
