j,10_palabras_mas_comunes
cat_0005972,"ardentes, buttman, desejos, fresh, frete, meat, videos, 1080p, amadoras, completos"
cat_00115ef,"rms, falante, woofer, alto, ohms, polegadas, pol, triton, grave, magnum"
cat_0013c63,"cooler, b240xhu, b251xhu, bangho, c230, disipador, g0101, g99, max, mf60090v1"
cat_001bdea,"cadeira, alumínio, pesca, barco, camping, desmontável, dobrável, estrutura, giratoria, kamel"
cat_0023dc4,"1ra, ceramica, piso, blanco, lourdes, pared, cotto, 2da, 56x56, cal"
cat_003f502,"fotográfico, rebatedor, 80cm, 90cmx120cm, circular, difusor, dobrável, oval, retangular"
cat_004f2c3,"riego, kit, aspersion, aspersor, auto, automatico, bird, fertilizante, fosfórico, grado"
cat_004f48f,"digital, prueba, 10mf, 225j, 2hs, 2uf, 630v, bob, capacitor, capacitores"
cat_006b81c,"cafe, cafetera, cuori, expresso, granos, molinillo, pcm, 100w, 8lt, bares"
cat_0082695,"domestico, gaseificador, cor, gaseificar, jet, máquina, preta, sodastream, água"
cat_00a1bdc,"mate, chalked, cuotas, int, pintura, tizada, ultra, oleum, rust, 10lts"
cat_00a58fe,"caja, calibre, cerrada, cl1, colimador, laser, nuevo"
cat_00a7b4f,"freno, pastillas, frasle, honda, pastilla, titan, original, delantero, yamaha, bosch"
cat_00b50ec,"mostrador, combo, despacho, factura, local, madera, mesa, muebles, pan, panaderia"
cat_00bf6e3,"citroen, dbh, kit, picasso, retenes, semieje, xsara"
cat_00c43a9,"juegos, animaciones, interactivas, pack, pantalla"
cat_00c4427,"acetona, alicate, com, kit, litro, melhor, molas, pre, silicone"
cat_00c9a89,"guitarra, clasica, criolla, cuerda, española, funda, pua, clásica, color, natural"
cat_00cba06,"motocross, rodilleras, motos, mtb, rodillera, enduro, scoyco, abrigo, atv, bmx"
cat_00cd2bc,"compressor, condicionado, 7h15, orelhas, polia, 16v, corsa, delphi, gol, master"
cat_00cd6a2,"anti, boya, gadnic, ionizador, pileta, sarro, solar, bacterias, colector"
cat_00d27ce,"24v, 5mts, adhesiva, auto, cinta, colores, led, rollo, tira, varios"
cat_00d27eb,"pack, boxer, dufour, hombre, algodón, algodon, art, boxers, slip, lycra"
cat_00f0545,"mato, monsanto, 280l, baú, belfix, dobrável, marrom, multiuso, plástico"
cat_0103436,"bag, capa, bateria, kit, reco, estofada, extra, ferragens, luxo, pedestais"
cat_0107053,"cal, academia, camisa, feminina, fitness, kanxa, legging, original, pele, roupa"
cat_0109b94,"wii, jogos, digital, envio, promo, 16g, and, case, desbloqueio, driver"
cat_010f1bf,"30x40, cartón, entelado, fibrofacil, pack, unidades"
cat_011add0,"kit, sexshop, produtos, vibrador, anel, atacado, erotico, labial, lubrificante, penis"
cat_011b4e4,"auto, cars, rayo, pista, original, patrol, paw, set, autitos, autos"
cat_011cafd,"g29, volante, suporte, cockpit, simulador, logitech, g27, ps4, g920, veloce"
cat_012356e,"interna, kangoo, motor, ventila"
cat_0130aa9,"grau, arma, óculos, oculos, feminino, masculino, leitura, metal, perto, com"
cat_0140781,"chinelo, descartável, eva, pares, 4mm, atacado, manicure, missbela, pedicure"
cat_01711b5,"alu, carter, diesel, f8q, junta, kangoo, megane, renault, scenic"
cat_0172243,"pedaleira, kit, suzuki, bros, crf, fan, pedal, titan, anodizado, anos"
cat_0175a99,"batedeira, multiprocesadora, planetária, liliana, 127v, 220v, oster, 110v, mondial, philco"
cat_018ca97,"varal, parede, retrátil, muro, inox, com, dobrável, branco, andares, dobravel"
cat_019e548,"sensor, borboleta, 16v, posi, tps, fase, ford, palio, pneu, posicao"
cat_01a1725,"maleta, maquiagem, completa, ruby, rose, profissional, brinde, kit, super, grande"
cat_01b676c,"compresor, aire, litros, 5hp, bta, kit, lts, monofasico, 18cuotas, 3hp"
cat_01d281a,"com, 11cm, caixa, colorido, confete, lan, tubo, unidades"
cat_01d49dc,"adaptable, bus, colectivo, espejo, plano, scania, universal"
cat_01d859c,"espora, inox, milha, quarto, 12x, bruta, juros, par, sem, brinde"
cat_01d8e2a,"apoio, barra, banheiro, barras, idoso, kit, 80cm, corrim, idosos, sanitário"
cat_01d9720,"alian, par, ouro, prata, 18k, com, compromisso, 8mm, namoro, anel"
cat_01d9b78,"40mm, 8mm, aluminio, avance, potencia, stem, zoom"
cat_01db132,"top, crop, fertilizante, candy, cultivo, floración, 250ml, combo, completo, grow"
cat_01e267e,"lorenzetti, ducha, 220v, chuveiro, advanced, eletr, nica, 7500w, 5500w, duo"
cat_01e3772,"insulfilm, pelicula, 00m, espelhado, risco, adesivo, 50m, anti, envelopamento, espatula"
cat_01e67c8,"cabos, organizador, fios, organizadores, velcro, celular, clips, mesa, notebook, pente"
cat_01e79cc,"angulo, button, contra, kit, micromotor, nsk, pieza, push, recta"
cat_01ed75e,"maquiagem, espelho, led, iluminador, luz, aumenta, portátil, 10x, dobrável, paleta"
cat_01ee291,"link, print, server, usb, 110p, ethernet, mfp, paralela, port, ps310u"
cat_02049fa,"matrices, bordadoras, bordar, diseños, maquina, maquinas, amor, brother, diseño, janome"
cat_0205113,"tatuagem, artificial, pele, practice, tattoo, infantil, meninos, modelos, novos, temporária"
cat_0205fb2,"coleccion, diferente, llaves, marcasantiquisimas, son"
cat_020ac2a,"livros, cozinha, estante, ferram, prateleiras, quarto, suporte, cds, dvds, aparador"
cat_02150b4,"110v, aquário, boyu, 220v, 700ml, aqua, aquario, beteira, completo, full"
cat_0218f74,"bolso, bolsos, 45x25x15, carteras, chapas, cuero, emegencias, escalera, gruezo, hebilla"
cat_021b8fd,"10x20, alto, azulejo, bisot, brilho, revestimento, white"
cat_021cca1,"tapas, transparente, encuadernacion, 100u, 150mic, hojas, plastificar, poliester, polipropileno, pouch"
cat_022212d,"almofada, shiatsu, pesco, lombar, massageadora, veicular, massageador, com, infra, infravermelho"
